$ bun ./📜️script.ts nx run @semio-tech/framework-renderer-react:test -- "--reporter=verbose"

> nx run @semio-tech/framework-renderer-react:test --reporter=verbose

> bun ./📜️script.ts test --reporter=verbose


 RUN  v4.1.10 /Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react

stderr | 🧪️index.test.ts
THREE.WARNING: Multiple instances of Three.js being imported.

 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework sync utilities > builds three sync backbone toggles 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework sync utilities > has no active toggle when detached 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework sync utilities > groups File, Folder, and Remote under a single Sync category collection 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > live measure dispatch > serializes document updates and skips stale slider values 58ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > live measure dispatch > coalesces straight slider movement but preserves a down-up reversal 126ms
stderr | 🧪️index.test.ts > framework plugin runtime > fetchDescriptorManifest falls back to an honest empty manifest when no 🔣️descriptor.json is reachable, and surfaces a real one when it is
[DEBUG] fetchDescriptorManifest: no descriptor for mock yet (E1-describe/W3 seam) — loading with an empty manifest, no eager instantiation

 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > live measure dispatch > caps queued direction reversals so a jittery drag cannot grow the queue unbounded 115ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > reveal cutoff store > notifies only same-group subscribers and reflects the latest set value 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > reveal cutoff store > isRevealCutoffHidden hides instances at or past the live cutoff, and never instances without a revealIndex 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > reveal cutoff store > isRevealCutoffHidden treats a JSON null revealIndex as untagged, even at the boot cutoff of 0 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > reveal cutoff store > committed reveal cutoff reconciliation ignores same-value identity churn so a live fill drag is not reset by fillBuildTick 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > in-flight skipping interval > drops overlapping ticks instead of queueing them behind a slow run 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > coalescing action dispatcher > dedupes unchanged values and keeps at most one in-flight dispatch 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > starts every panel anchor at the same 300px width 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > toggles the overlays slice via a direct value without touching unrelated slices 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > starts, advances, and dismisses an introduction via SET_INTRODUCTION_STEP without touching unrelated slices 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > auto-starts each introduction launch once and keeps a skipped replay-on-load introduction dismissed 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > COMPLETE_INTRODUCTION_INTERACTION appends and dedupes indices; SET_INTRODUCTION_STEP resets them 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > opens, replaces, and closes a dialog via SET_DIALOG without touching unrelated slices 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > toggles the layout slice via an updater function 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > toggles a middle anchor via SET_PANEL_VISIBLE the same way as a corner 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > rewrites window icons via SET_WINDOW_ICON for extras and base kinds 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > rewrites window titles via SET_WINDOW_TITLE for extras and base kinds 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > resets the dock override, every anchor's active path/visible/size, drill-down memory, and tree expansion via RESET_DOCK 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > HYDRATE_DOCK_UI restores a persisted size for the top-middle anchor 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > updates the uiPrefs slice and leaves the sync slice referentially unchanged 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > action-panel slice: fold/expand/stage/reset/active-utility update only their own keys and preserve identity on no-operations 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > actionPane slice: SET_ACTIVE_TOOL updates only activeToolId and preserves identity on no-operations (mode-scoped, not per-window) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > commandPanel slice: expand/collapse and stage/reset update only their own keys and preserve identity on no-operations (category active/fold state now lives in layout.panels['bottom-middle'], not this slice) 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > command palette category is the bottom-middle anchor's own SET_PANEL_PATH; the UI's category-switch handler additionally dispatches SET_COMMAND_EXPANDED:null (reproducing the old single-action collapse-on-switch behavior across two actions) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > tutorial slice: SET_TUTORIAL starts a tutorial, resets rate/deviated, and clears an active introduction (mutual exclusivity) 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > tutorial slice: SET_INTRODUCTION_STEP (non-null) clears an active tutorial (mutual exclusivity, reverse direction) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > tutorial slice: play/pause resets deviated only when transitioning to playing; rate/muted/captions/recording/deviated update independently 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > APPLY_TUTORIAL_UI_SNAPSHOT atomically restores layout/panels/tree/utility/tool/dialog/search across their owning slices 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > UPSERT_LOADED_PLUGIN inserts a new pluginId and replaces an existing one in place (order preserved) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > REMOVE_LOADED_PLUGIN drops only the matching pluginId 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > shell store reducer > SET_PLUGIN_STATUS tracks per-pluginId status independent of loadedPlugins membership 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > Shell peer interaction (generic, app-agnostic) > regroups per-peer PresenceInteraction domains into a per-domain roster, keyed by clientId 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > Shell peer interaction (generic, app-agnostic) > is app-agnostic: two different apps sharing one domain id merge into the same entry 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > Shell peer interaction (generic, app-agnostic) > peerIdsSelecting/peerIdsHovering find which peers have a given target id 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > Shell peer interaction (generic, app-agnostic) > is defensive about an absent interaction field (older heartbeat, or wave 2a's wire field not yet landed) and an unknown domain 0ms
